GraduatedYr,FacName,FacName.1,gender,AgeGrad,Nationality,EntryChannel,MUET,Program,CGPA,YearEntry,YearGrad,Status,JobGroup,jobassurance,JobStatusCategory,JobNumber,JobIncomeCategory
2023,FSKTM,Fac1,1,-0.8720043910422491,1,6,Band 2,BACELOR KEJURUTERAAN PERISIAN,-1.4929813074049176,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),0.5437160616665782,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),0.443550617286012,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),0.20983124706469347,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),0.17644276560450425,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,0.18415103260953475,0,3,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),0.1096658026841273,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,0.7122287444354267,0,3,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),-0.8919886411215253,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,1,6,Band 2,BACELOR SAINS KOMPUTER (MULTIMEDIA),-0.925377122581713,2019,2023,52,Profesional,5,1,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 4,BACELOR SAINS KOMPUTER (MULTIMEDIA),-1.125708011342844,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,-1.400082102868141,1,6,Band 3,BACELOR SAINS KOMPUTER (MULTIMEDIA),-1.5597582703252946,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,-0.34392667921635717,0,11,Band 5,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),0.744046950427709,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,0,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),0.6104930245869551,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 3,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),0.6104930245869551,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
2023,FSKTM,Fac1,1,-0.8720043910422491,0,7,Band 4,BACELOR SAINS KOMPUTER (RANGKAIAN KOMPUTER),0.3099966914452581,2019,2023,Belum/Tidak bekerja,-2,3,1,-2,0
